quarter,govt_all
2012Q3,1.3573591882025615
2012Q4,1.3709395668805282
2013Q1,1.4237150494770319
2013Q2,1.4905853498838313
2013Q3,1.5289198880770478
2013Q4,1.5603780446228306
2014Q1,1.6164193334261494
2014Q2,1.6442682718905015
2014Q3,1.6791646192600012
2014Q4,1.7030595704091192
2015Q1,1.7322835137311203
2015Q2,1.7216255293853537
2015Q3,1.720421551785418
2015Q4,1.7121701652803347
2016Q1,1.7073569695989683
2016Q2,1.7321111291142186
2016Q3,1.7309085088734713
2016Q4,1.7034029822837344
2017Q1,1.7090767436904213
2017Q2,1.7166399490870858
2017Q3,1.7309085088734713
2017Q4,1.72936111939892
2018Q1,1.7297045312735353
2018Q2,1.720421551785418
2018Q3,1.729876915890437
2018Q4,1.7327993102226373
2019Q1,1.737783533161717
2019Q2,1.746379688900604
2019Q3,1.7804168279039712
2019Q4,1.7902156038836057
2020Q1,1.7996696106294363
2020Q2,1.8117025998328522
2020Q3,1.8374883523311363
2020Q4,1.859492502131088
2021Q1,1.9014376157649233
2021Q2,1.9325523604360908
2021Q3,1.9739816775784094
2021Q4,2.019879421168291
2022Q1,2.0802181091614593
2022Q2,2.1311014330496088
2022Q3,2.171671541825795
2022Q4,2.191955917534294
2023Q1,2.21499166031728
2023Q2,2.2485130028291302
2023Q3,2.289426523479932
2023Q4,2.341341440351115
2024Q1,2.4207618838120353
2024Q2,2.5180601051407714
2024Q3,2.57324082821877
2024Q4,2.5954160052764355
2025Q1,2.5618946627645847
2025Q2,2.555363050350954
2025Q3,2.5005257391475704
